GROUP_SET,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,BLK,BLKA,PF,PFD,NBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PTS_OFF_TOV_RANK,PTS_2ND_CHANCE_RANK,PTS_FB_RANK,PTS_PAINT_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,NBA_FANTASY_PTS_RANK,season_id,season_type
Players,920,A.C. Green,A.C.,1610612742,DAL,33.0,34,11,23,0.324,3.4,0.1,0.2,0.0,0.1,1.1,1.6,0.7,2.5,0.0,0.0,0.3,0.0,1.4,80,147,362,306,138,166,135,154,248,299,364,351,95,194,201,159,19,264,1996-97,Regular%20Season
Players,243,Aaron McKie,Aaron,1610612765,DET,24.0,25,11,14,0.44,2.7,0.1,0.1,0.0,0.1,0.8,0.8,0.1,1.6,0.1,0.0,0.5,0.0,1.5,151,147,267,225,216,199,211,154,253,185,178,128,229,72,1,258,19,245,1996-97,Regular%20Season
Players,1425,Aaron Williams,Aaron,1610612763,VAN,25.0,6,1,5,0.167,3.8,0.0,0.0,0.0,0.0,2.3,0.5,0.3,2.3,0.3,0.0,0.0,0.0,2.1,293,325,122,354,86,223,235,154,260,392,104,211,111,9,1,1,19,189,1996-97,Regular%20Season
Players,768,Acie Earl,Acie,1610612749,MIL,27.0,10,1,9,0.1,3.0,0.4,0.0,0.0,0.6,1.3,1.2,1.0,3.4,0.3,0.0,0.4,0.0,2.1,253,325,196,363,177,34,235,154,67,336,304,379,14,16,1,218,19,197,1996-97,Regular%20Season
Players,228,Adam Keefe,Adam,1610612762,UTA,27.0,11,5,6,0.455,1.1,0.0,0.1,0.0,0.2,0.2,0.2,0.0,0.7,0.0,0.0,0.0,0.0,0.3,248,230,140,215,339,223,200,154,216,69,61,1,337,194,1,1,19,352,1996-97,Regular%20Season
Players,154,Adrian Caldwell,Adrian,1610612755,PHI,30.0,6,2,4,0.333,2.1,0.3,0.0,0.3,0.3,0.3,1.7,0.3,2.3,0.0,0.0,0.3,0.0,1.4,293,295,100,288,268,50,235,8,149,91,368,211,111,194,1,162,19,254,1996-97,Regular%20Season
Players,673,Alan Henderson,Alan,1610612737,ATL,24.0,6,3,3,0.5,2.0,0.0,0.0,0.0,0.0,0.7,0.3,0.3,1.0,0.0,0.0,0.8,0.0,0.6,293,282,77,166,277,223,235,154,260,152,77,211,298,194,1,378,19,334,1996-97,Regular%20Season
Players,275,Allan Houston,Allan,1610612752,NYK,26.0,45,30,15,0.667,2.0,0.2,0.0,0.0,0.2,0.7,0.6,0.1,1.0,0.0,0.1,0.3,0.0,1.8,7,6,286,57,275,97,228,151,221,152,122,124,320,194,261,162,19,224,1996-97,Regular%20Season
Players,947,Allen Iverson,Allen,1610612755,PHI,22.0,32,9,23,0.281,3.8,0.4,0.2,0.2,0.6,1.2,1.8,0.9,3.7,0.0,0.1,0.7,0.0,4.1,99,175,362,316,85,33,149,57,65,316,372,377,6,177,253,367,19,41,1996-97,Regular%20Season
Players,297,Alonzo Mourning,Alonzo,1610612748,MIA,27.0,32,22,10,0.688,2.7,0.3,0.1,0.1,0.6,0.9,0.9,0.1,1.7,0.1,0.1,0.4,0.0,2.6,99,28,209,53,214,89,219,107,81,231,196,120,220,70,253,197,19,126,1996-97,Regular%20Season
