CLOSE_DEF_PERSON_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,PLAYER_POSITION,AGE,GP,G,FREQ,FG3M,FG3A,FG3_PCT,NS_FG3_PCT,PLUSMINUS,season_id,season_type
201950,Jrue Holiday,1610612740,NOP,G,24.0,34,34,0.466,1.88,5.24,0.36,0.356,0.004,2013-14,Regular%20Season
202689,Kemba Walker,1610612766,CHA,G,24.0,72,71,0.364,2.0,4.94,0.404,0.351,0.053,2013-14,Regular%20Season
202681,Kyrie Irving,1610612739,CLE,G,22.0,71,70,0.451,1.83,4.87,0.376,0.36,0.016,2013-14,Regular%20Season
201935,James Harden,1610612745,HOU,G,24.0,73,71,0.394,1.68,4.81,0.35,0.354,-0.004,2013-14,Regular%20Season
203079,Dion Waiters,1610612739,CLE,G,22.0,70,70,0.493,1.67,4.54,0.368,0.359,0.009,2013-14,Regular%20Season
201142,Kevin Durant,1610612760,OKC,F,25.0,81,81,0.394,1.42,4.51,0.315,0.357,-0.042,2013-14,Regular%20Season
202738,Isaiah Thomas,1610612758,SAC,G,25.0,71,70,0.393,1.56,4.34,0.36,0.358,0.003,2013-14,Regular%20Season
202331,Paul George,1610612754,IND,F-G,24.0,80,80,0.344,1.4,4.21,0.332,0.357,-0.025,2013-14,Regular%20Season
977,Kobe Bryant,1610612747,LAL,G,35.0,6,6,0.424,0.33,4.17,0.08,0.354,-0.274,2013-14,Regular%20Season
101114,Deron Williams,1610612751,BKN,G,30.0,64,60,0.417,1.56,4.16,0.376,0.342,0.034,2013-14,Regular%20Season
201975,Jodie Meeks,1610612747,LAL,G,26.0,76,76,0.386,1.55,4.14,0.375,0.359,0.016,2013-14,Regular%20Season
201144,Mike Conley,1610612763,MEM,G,26.0,73,71,0.395,1.33,4.14,0.321,0.362,-0.041,2013-14,Regular%20Season
2440,Matt Barnes,1610612746,LAC,F,34.0,63,59,0.401,1.27,4.13,0.308,0.359,-0.051,2013-14,Regular%20Season
203078,Bradley Beal,1610612764,WAS,G,21.0,72,70,0.366,1.36,4.08,0.333,0.363,-0.03,2013-14,Regular%20Season
2546,Carmelo Anthony,1610612752,NYK,F,30.0,77,74,0.375,1.45,4.05,0.359,0.358,0.001,2013-14,Regular%20Season
201937,Ricky Rubio,1610612750,MIN,G,23.0,82,81,0.371,1.46,4.04,0.363,0.363,0.0,2013-14,Regular%20Season
101181,Jose Calderon,1610612742,DAL,G,32.0,80,79,0.384,1.6,4.04,0.396,0.359,0.037,2013-14,Regular%20Season
202391,Jeremy Lin,1610612745,HOU,G,25.0,71,66,0.34,1.37,4.03,0.339,0.358,-0.019,2013-14,Regular%20Season
202688,Brandon Knight,1610612749,MIL,G,22.0,71,68,0.394,1.69,4.03,0.42,0.363,0.056,2013-14,Regular%20Season
202323,Evan Turner,1610612754,IND,F-G,25.0,81,78,0.381,1.6,3.99,0.402,0.366,0.037,2013-14,Regular%20Season
201147,Corey Brewer,1610612750,MIN,F,28.0,81,77,0.386,1.49,3.95,0.378,0.365,0.013,2013-14,Regular%20Season
101127,Jarrett Jack,1610612739,CLE,G,30.0,80,78,0.43,1.43,3.93,0.363,0.354,0.009,2013-14,Regular%20Season
203506,Victor Oladipo,1610612753,ORL,G,22.0,80,79,0.346,1.3,3.93,0.331,0.356,-0.024,2013-14,Regular%20Season
2746,Josh Smith,1610612765,DET,F,28.0,77,75,0.282,1.39,3.88,0.358,0.363,-0.005,2013-14,Regular%20Season
101145,Monta Ellis,1610612742,DAL,G,28.0,82,78,0.376,1.5,3.87,0.388,0.37,0.018,2013-14,Regular%20Season
202718,Chandler Parsons,1610612745,HOU,F,25.0,74,72,0.348,1.38,3.84,0.359,0.359,0.0,2013-14,Regular%20Season
203114,Khris Middleton,1610612749,MIL,F,22.0,81,78,0.395,1.52,3.83,0.397,0.361,0.036,2013-14,Regular%20Season
