PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,DEF_RATING,DREB,DREB_PCT,PCT_DREB,STL,PCT_STL,BLK,PCT_BLK,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,DEF_WS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,DEF_RATING_RANK,DREB_RANK,DREB_PCT_RANK,PCT_DREB_RANK,STL_RANK,PCT_STL_RANK,BLK_RANK,PCT_BLK_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,DEF_WS_RANK,season_id,season_type
203932,Aaron Gordon,Aaron,1610612743,DEN,27.0,14,11,3,0.786,35.3,109.0,2.9,0.084,0.116,0.5,0.089,0.6,0.211,8.7,7.1,11.3,34.9,0.117,15,1,55,15,41,88,80,156,162,97,149,42,70,139,140,188,186,20,1996-97,Regular%20Season
1628988,Aaron Holiday,Aaron,1610612737,ATL,26.0,1,1,0,1.0,3.9,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,10.0,-0.06,202,132,1,1,178,216,198,198,198,159,159,143,143,44,45,1,72,212,1996-97,Regular%20Season
201143,Al Horford,Al,1610612738,BOS,36.0,16,8,8,0.5,31.0,110.0,5.5,0.174,0.244,1.3,0.323,1.9,0.417,10.7,7.7,7.6,25.8,0.093,1,18,210,72,56,104,26,53,61,24,23,5,25,166,154,146,136,46,1996-97,Regular%20Season
203458,Alex Len,Alex,1610612758,SAC,29.0,7,3,4,0.429,7.8,102.5,1.9,0.228,0.317,0.0,0.0,0.4,0.6,1.9,2.7,1.3,6.3,0.041,78,85,92,109,156,41,114,24,34,159,159,61,10,41,69,41,58,116,1996-97,Regular%20Season
1629599,Amir Coffey,Amir,1610612746,LAC,25.0,1,0,1,0.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.006,202,188,14,188,214,32,198,198,198,159,159,143,143,44,45,1,12,178,1996-97,Regular%20Season
203952,Andrew Wiggins,Andrew,1610612744,GSW,28.0,13,6,7,0.462,34.0,106.4,3.8,0.101,0.154,0.8,0.143,1.2,0.357,10.6,9.8,9.4,32.5,0.139,30,41,194,100,46,59,60,137,139,51,119,18,28,165,184,166,173,4,1996-97,Regular%20Season
203076,Anthony Davis,Anthony,1610612747,LAL,30.0,15,8,7,0.533,37.8,109.9,11.7,0.268,0.404,1.4,0.253,3.1,0.553,11.8,10.5,12.3,34.7,0.114,8,18,194,65,25,98,1,10,11,19,53,1,13,181,189,200,184,24,1996-97,Regular%20Season
1630162,Anthony Edwards,Anthony,1610612750,MIN,21.0,5,1,4,0.2,39.7,119.8,4.4,0.116,0.185,1.8,0.346,2.0,0.476,13.0,10.6,13.0,42.8,0.005,114,132,92,157,7,190,44,110,103,8,14,3,19,196,192,205,211,182,1996-97,Regular%20Season
1630237,Anthony Lamb,Anthony,1610612744,GSW,25.0,6,3,3,0.5,5.2,89.2,0.8,0.116,0.192,0.2,0.333,0.2,0.25,1.8,1.7,1.5,3.7,0.046,93,85,55,72,168,22,164,112,95,149,17,130,53,40,38,45,39,102,1996-97,Regular%20Season
1630559,Austin Reaves,Austin,1610612747,LAL,24.0,15,8,7,0.533,35.9,107.2,3.3,0.082,0.122,0.7,0.122,0.2,0.039,11.3,9.7,11.4,33.1,0.137,8,18,194,65,37,68,67,158,158,72,131,112,140,174,179,189,174,5,1996-97,Regular%20Season
