,Rk,Player,Pos,Age,Tm,G,GS,GM,MP_Total,MP,PER,USG%,OWS,DWS,WS,WS_48,OBPM,DBPM,BPM,VORP,TS%,PTS,FG,FGA,FG%,3P,3PA,3P%,3PAr,2P,2PA,2P%,eFG%,FT,FTA,FT%,FTr,ORB,ORB%,DRB,DRB%,TRB,TRB%,AST,AST%,STL,STL%,BLK,BLK%,TOV,TOV%,PF,Player_additional
0,1,Precious Achiuwa,C,23,TOR,55,12,27,1140.0,20.7,15.2,0.19399999999999998,0.8,1.4,2.2,0.093,-1.4,-0.8,-2.3,-0.1,0.554,9.2,3.6,7.3,0.485,0.5,2.0,0.269,0.267,3.0,5.4,0.564,0.521,1.6,2.3,0.702,0.307,1.8,0.09300000000000001,4.1,0.244,6.0,0.163,0.9,0.063,0.6,0.013000000000000001,0.5,0.026000000000000002,1.1,0.114,1.9,achiupr01
1,2,Steven Adams,C,29,MEM,42,42,40,1133.0,27.0,17.5,0.146,1.3,2.1,3.4,0.144,-0.3,0.9,0.6,0.7,0.564,8.6,3.7,6.3,0.597,0.0,0.0,0.0,0.004,3.7,6.2,0.599,0.597,1.1,3.1,0.364,0.49,5.1,0.201,6.5,0.253,11.5,0.22699999999999998,2.3,0.11199999999999999,0.9,0.015,1.1,0.037000000000000005,1.9,0.198,2.3,adamsst01
2,3,Bam Adebayo,C,25,MIA,75,75,7,2598.0,34.6,20.1,0.252,3.6,3.8,7.4,0.137,0.8,0.8,1.5,2.3,0.592,20.4,8.0,14.9,0.54,0.0,0.2,0.083,0.011,8.0,14.7,0.545,0.541,4.3,5.4,0.806,0.361,2.5,0.08,6.7,0.23600000000000002,9.2,0.155,3.2,0.159,1.2,0.017,0.8,0.024,2.5,0.127,2.8,adebaba01
3,4,Ochai Agbaji,SG,22,UTA,59,22,23,1209.0,20.5,9.5,0.158,0.9,0.4,1.3,0.053,-1.7,-1.4,-3.0,-0.3,0.561,7.9,2.8,6.5,0.427,1.4,3.9,0.355,0.591,1.4,2.7,0.532,0.532,0.9,1.2,0.812,0.179,0.7,0.039,1.3,0.069,2.1,0.054000000000000006,1.1,0.075,0.3,0.006,0.3,0.01,0.7,0.09,1.7,agbajoc01
4,5,Santi Aldama,PF,22,MEM,77,20,5,1682.0,21.8,13.9,0.16,2.1,2.4,4.6,0.13,-0.3,0.8,0.5,1.1,0.591,9.0,3.2,6.8,0.47,1.2,3.5,0.353,0.507,2.0,3.4,0.591,0.56,1.4,1.9,0.75,0.274,1.1,0.054000000000000006,3.7,0.18,4.8,0.11699999999999999,1.3,0.076,0.6,0.013000000000000001,0.6,0.026000000000000002,0.8,0.09300000000000001,1.9,aldamsa01
5,6,Nickeil Alexander-Walker,SG,24,TOT,59,3,23,589.3333333333334,15.066666666666668,11.4,0.17866666666666664,0.19999999999999998,0.5333333333333333,0.7333333333333334,0.06,-1.4666666666666668,0.3,-1.1333333333333333,0.13333333333333333,0.559,6.133333333333333,2.1999999999999997,5.033333333333334,0.4386666666666667,1.0333333333333334,2.733333333333333,0.38233333333333336,0.5423333333333333,1.1666666666666667,2.3,0.5026666666666667,0.5419999999999999,0.7000000000000001,1.0,0.6593333333333333,0.20000000000000004,0.26666666666666666,0.019333333333333334,1.4666666666666668,0.10533333333333333,1.7,0.063,1.7666666666666666,0.162,0.5,0.016666666666666666,0.3666666666666667,0.01966666666666667,0.8666666666666667,0.13633333333333333,1.4666666666666668,alexani01
6,7,Grayson Allen,SG,27,MIL,72,70,10,1972.0,27.4,12.3,0.146,2.8,2.2,5.1,0.123,-0.6,0.7,0.1,1.0,0.612,10.4,3.4,7.7,0.44,2.0,5.1,0.399,0.657,1.4,2.7,0.518,0.571,1.6,1.8,0.905,0.226,0.8,0.034,2.4,0.09,3.3,0.063,2.3,0.109,0.9,0.015,0.2,0.006,1.0,0.105,1.6,allengr01
7,8,Jarrett Allen,C,24,CLE,68,68,14,2220.0,32.6,19.9,0.16399999999999998,5.5,4.0,9.5,0.205,1.3,1.0,2.4,2.4,0.67,14.3,5.9,9.2,0.644,0.0,0.1,0.1,0.016,5.9,9.1,0.653,0.645,2.4,3.3,0.733,0.353,3.3,0.11699999999999999,6.5,0.23600000000000002,9.8,0.177,1.7,0.075,0.8,0.012,1.2,0.035,1.4,0.114,2.3,allenja01
8,9,Jose Alvarado,PG,24,NOP,61,10,21,1310.0,21.5,11.8,0.198,0.1,1.7,1.8,0.066,-2.0,0.7,-1.2,0.3,0.525,9.0,3.3,8.0,0.411,1.4,4.0,0.336,0.505,1.9,4.0,0.488,0.496,1.1,1.3,0.813,0.164,0.5,0.024,1.9,0.098,2.3,0.061,3.0,0.19899999999999998,1.1,0.025,0.2,0.006999999999999999,1.3,0.134,2.0,alvarjo01
9,10,Kyle Anderson,PF,29,MIN,69,46,13,1957.0,28.4,14.8,0.14400000000000002,2.5,2.6,5.1,0.125,0.2,2.3,2.5,2.2,0.583,9.4,3.7,7.2,0.509,0.6,1.5,0.41,0.212,3.0,5.7,0.536,0.553,1.4,2.0,0.735,0.275,1.0,0.038,4.4,0.16899999999999998,5.3,0.105,4.9,0.226,1.1,0.019,0.9,0.027999999999999997,1.5,0.157,2.1,anderky01
